honest_proportion,round,total_honest_effective_balance,alpha,sum_balance_honest,sum_balance_all
0.5000000000000002,0,1472,1.0032937231007963,1647.729707730093,3246.598336880191
0.46000000000000024,1,1413,1.0065874462015927,1493.9556655558426,3192.2043297586933
0.45000000000000023,2,1360,1.019646578002721,1428.429225401952,3134.8929059477027
0.4400000000000002,3,1398,1.0351498746313155,1380.2657424427869,3075.3133607670766
0.46000000000000024,4,1761,1.0530981426127255,1413.6711415657815,3019.6236755919663
0.5900000000000003,5,2057,1.0661572744138539,1846.9457108975776,3082.4488253602913
0.6900000000000004,6,2184,1.0475877379067242,2207.1930044519536,3167.286995997091
0.7200000000000004,7,2214,1.0050132279284298,2384.3311362212607,3260.484319395147
0.7200000000000004,8,2351,0.9553168569691479,2450.1951252358954,3353.6892115878886
0.7600000000000005,9,2277,0.905620486009866,2655.3488270220223,3456.6124955686414
0.7300000000000004,10,2166,0.846496154088527,2623.032586661428,3550.889063194691
0.6900000000000004,11,1973,0.7944352556951344,2537.167321992714,3634.4710052904884
0.6300000000000003,12,1808,0.75186074571684,2357.3553708718828,3702.7192233703818
0.5800000000000003,13,1288,0.7236452498473227,2191.8994946897615,3760.0591830057397
0.4100000000000002,14,1177,0.7074950379319489,1549.7852159965387,3716.7500490499524
0.38000000000000017,15,1086,0.7327814199961722,1416.243348176023,3670.7332504610586
0.36000000000000015,16,1083,0.7654073187150061,1321.0902188166501,3620.4692726455887
0.37000000000000016,17,772,0.802924829069525,1326.3458864996526,3570.8644574991986
0.2700000000000001,18,810,0.8379967832006514,959.7256584284868,3502.0074447859106
0.2900000000000001,19,643,0.8974750437773764,1021.494892112185,3434.074566155552
0.23000000000000007,20,618,0.9520838507451117,815.2964951617846,3351.64896530859
0.23000000000000007,21,577,1.0212742784060538,789.5772429451383,3265.3189521260115
0.22000000000000006,22,560,1.0904647060669959,722.0639588405962,3172.021306686578
0.22000000000000006,23,617,1.1620766618289053,709.1118643447414,3073.955633620831
0.26000000000000006,24,591,1.2336886175908148,788.6852203509711,2979.9928375780646
0.25000000000000006,25,600,1.2955985092557967,752.5420416135487,2880.170342817163
0.26000000000000006,26,559,1.359937744680792,761.0558943343199,2779.7222150266057
0.25000000000000006,27,645,1.421847636345774,707.586744206191,2673.1672910175785
0.3000000000000001,28,710,1.4861868717707694,804.7857023925922,2577.271804730137
0.34000000000000014,29,790,1.5383581616915762,875.9314075318308,2489.825834660377
0.4000000000000002,30,780,1.5807646536268294,980.9107027429435,2413.8477079869117
0.4000000000000002,31,803,1.608497601468116,975.9114258891051,2338.9864123319903
0.4200000000000002,32,520,1.6362305493094027,985.8404123640041,2269.4552336402103
0.3000000000000001,33,571,1.65907052019611,675.3691835848014,2164.7796926363335
0.3300000000000001,34,669,1.711241810116917,723.8751507109426,2070.440439118427
0.3900000000000002,35,567,1.7560913846828043,799.3539200989949,1992.0859043098658
0.34000000000000014,36,572,1.7862708964385092,673.6113000722245,1899.4486272629185
0.35000000000000014,37,598,1.8286773883737624,676.5822485392282,1809.6259142555982
0.4000000000000002,38,602,1.8686398067511618,713.4130140530943,1732.3257022933396
0.4200000000000002,39,580,1.8963727545924485,706.0162175404092,1658.0632474407432
0.4100000000000002,40,664,1.9192127254791558,681.3576912910413,1584.1525550212243
0.5000000000000002,41,766,1.944499107543379,822.2243094794312,1611.7991858790788
0.5800000000000003,42,763,1.9477928306441754,945.8622540052285,1648.6078999138745
0.5500000000000003,43,764,1.9316426187288016,942.733152041086,1683.0226459063067
0.5700000000000003,44,599,1.9227667942177504,1001.5869165574667,1718.4890284561081
0.4400000000000002,45,608,1.9090387399774045,740.0518445125479,1655.6348446386492
0.48000000000000026,46,648,1.9269870079588145,789.5380018114408,1602.1963420506083
0.5200000000000002,47,595,1.9351608694996685,837.5677111298781,1630.0102583243906
0.49000000000000027,48,683,1.9335808756295592,798.1694938945956,1578.6938511038643
0.5700000000000003,49,732,1.9393139446619898,961.8418101206202,1611.3037322072703
0.6300000000000003,50,726,1.9255858904216439,1061.4278671365619,1649.4495972855216
0.6200000000000003,51,738,1.8973703945521265,1045.1459670779245,1686.328174125831
0.6200000000000003,52,753,1.8715613933745772,1095.9230834609398,1723.2825202256677
0.6400000000000003,53,816,1.8457523921970278,1154.5291852252708,1762.019825768266
0.7100000000000004,54,865,1.8151339760515839,1276.4241686503128,1808.2126646439674
0.7400000000000004,55,936,1.7678069344256073,1403.269605025984,1858.5292763193456
0.7700000000000005,56,928,1.7133864595089108,1519.0874044077923,1914.3360031196312
0.7800000000000005,57,932,1.6519181004259735,1552.7641966852827,1969.7610719489535
0.8000000000000005,58,1023,1.5881111568305641,1637.2891787170104,2026.0451632534123
0.8600000000000005,59,1027,1.5196437856648117,1837.672269938962,2091.242618020405
0.8800000000000006,60,1014,1.43733766884543,1894.88597786085,2157.2232213286006
0.8700000000000006,61,1053,1.3504690548870713,1936.0565124593547,2220.626883689655
0.9000000000000006,62,1022,1.265878418693319,2046.2720368460118,2287.897420083639
0.8700000000000006,63,1018,1.1744739210698754,2042.4405905194947,2350.0594783704237
0.8600000000000005,64,1029,1.089883284876123,2093.614947239956,2410.2453954202488
0.8700000000000006,65,1026,1.0075771680567414,2152.6345662783365,2471.329738134764
0.8600000000000005,66,989,0.9229865318629891,2200.5718812116343,2530.437743864016
0.8400000000000005,67,965,0.8406804150436074,2179.3313121584397,2585.4556330545142
0.8000000000000005,68,942,0.7629625818226486,2125.886873682427,2636.425815007092
0.7900000000000005,69,847,0.6944952106568962,2153.667879102371,2684.987160249605
0.7200000000000004,70,756,0.6283552146051079,1969.7570604628077,2724.3085303925864
0.6400000000000003,71,782,0.578658843645826,1784.4593070359945,2755.1360580075984
0.6600000000000004,72,792,0.5480404275003821,1868.3205716942268,2787.617765290009
0.6600000000000004,73,839,0.5126274267677218,1874.437810689044,2820.744085660784
0.7200000000000004,74,903,0.4772144260350615,2029.9128341870942,2858.3178860047533
0.7300000000000004,75,879,0.42751805507577956,2176.865521271493,2899.330108715682
0.7700000000000005,76,880,0.375457156682387,2231.11134964927,2941.260061487756
0.7500000000000004,77,932,0.31398879759944975,2246.373394359842,2982.093996067583
0.7900000000000005,78,885,0.25721379765309393,2381.628130149992,3027.0579923967075
0.7400000000000004,79,920,0.1910738016013056,2296.021895043514,3066.3705764887177
0.7800000000000005,80,852,0.13665332668460906,2415.277780650102,3109.712659486649
0.7200000000000004,81,840,0.07284638308919966,2276.9480539289434,3146.4777888435265
0.7100000000000004,82,883,0.02315001212991774,2255.6252110083315,3182.1433015842454
0.7300000000000004,83,901,-0.02417702949605882,2398.6541564965937,3220.411029400292
0.7600000000000005,84,864,-0.07623792788945138,2488.479035534743,3260.7505683513277
0.7600000000000005,85,901,-0.13536225981079042,2450.22908170183,3299.0280788840128
0.7700000000000005,86,798,-0.19448659173212945,2571.259045247046,3339.043175307771
0.7000000000000004,87,829,-0.2559549508150667,2314.68874730247,3371.2512322658367
0.6800000000000004,88,787,-0.3009079990442842,2368.7779322326246,3403.614560493579
0.6700000000000004,89,791,-0.34109956747852266,2308.7962440607926,3433.5211192482184
0.6600000000000004,90,863,-0.3789039214607328,2306.5062314152806,3463.2018982524655
0.7400000000000004,91,925,-0.4143169221933931,2572.522771851683,3499.223298588652
0.7800000000000005,92,896,-0.46873739711008966,2790.610971184095,3540.0088412601044
0.7600000000000005,93,914,-0.532544340705499,2712.946228793335,3578.011732282687
0.7800000000000005,94,910,-0.5916686726268381,2827.3401244295974,3617.936596616462
0.7800000000000005,95,967,-0.6554756162222475,2823.3121833511705,3657.465494817932
0.8000000000000005,96,940,-0.7192825598176569,3045.1281625893266,3700.0023388309764
0.8000000000000005,97,984,-0.7877499309834093,2995.731472188343,3741.1596122947785
0.8300000000000005,98,975,-0.8562173021491617,3160.876258513459,3785.7569167936713
